OTU,kingdom,phylum,class,order,family,genus,species
OTU4076,Bacteria,Proteobacteria,c__Gammaproteobacteria,o__Gammaproteobacteria_Incertae_Sedis,f__unclassified_o__Gammaproteobacteria_Incertae_Sedis,g__Candidatus_Ovatusbacter,s__uncultured_bacterium_g__Candidatus_Ovatusbacter
OTU4077,Bacteria,Proteobacteria,c__Gammaproteobacteria,o__Diplorickettsiales,f__Diplorickettsiaceae,g__norank_f__Diplorickettsiaceae,s__unclassified_g__norank_f__Diplorickettsiaceae
OTU4078,Bacteria,Actinobacteriota,c__Thermoleophilia,o__Solirubrobacterales,f__67-14,g__norank_f__67-14,s__uncultured_Rubrobacteria_bacterium_g__norank_f__67-14
OTU4079,Bacteria,Dependentiae,c__Babeliae,o__Babeliales,f__Babeliaceae,g__norank_f__Babeliaceae,s__unclassified_g__norank_f__Babeliaceae
OTU408,Bacteria,Myxococcota,c__bacteriap25,o__norank_c__bacteriap25,f__norank_o__norank_c__bacteriap25,g__norank_f__norank_o__norank_c__bacteriap25,s__unclassified_g__norank_f__norank_o__norank_c__bacteriap25
OTU4080,Bacteria,Actinobacteriota,c__Thermoleophilia,o__Solirubrobacterales,f__Solirubrobacteraceae,g__Conexibacter,s__metagenome_g__Conexibacter
OTU4081,Bacteria,Actinobacteriota,c__Thermoleophilia,o__Solirubrobacterales,f__67-14,g__norank_f__67-14,s__unclassified_g__norank_f__67-14
OTU4082,Bacteria,Bacteroidota,c__Bacteroidia,o__Cytophagales,f__Hymenobacteraceae,g__Hymenobacter,s__unclassified_g__Hymenobacter
OTU4083,Bacteria,Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Burkholderia-Caballeronia-Paraburkholderia,s__unclassified_g__Burkholderia-Caballeronia-Paraburkholderia
OTU4084,Bacteria,Dependentiae,c__Babeliae,o__Babeliales,f__UBA12411,g__norank_f__UBA12411,s__unclassified_g__norank_f__UBA12411
OTU4085,Bacteria,Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Alcaligenaceae,g__unclassified_f__Alcaligenaceae,s__unclassified_f__Alcaligenaceae
OTU4086,Bacteria,Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__norank_f__Comamonadaceae,s__Ideonella_sp._g__norank
OTU4087,Bacteria,Proteobacteria,c__Gammaproteobacteria,o__Diplorickettsiales,f__Diplorickettsiaceae,g__norank_f__Diplorickettsiaceae,s__unclassified_g__norank_f__Diplorickettsiaceae
OTU4088,Bacteria,Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Lactococcus,s__unclassified_g__Lactococcus
OTU4089,Bacteria,Gemmatimonadota,c__Gemmatimonadetes,o__Gemmatimonadales,f__Gemmatimonadaceae,g__unclassified_f__Gemmatimonadaceae,s__unclassified_f__Gemmatimonadaceae
OTU409,Bacteria,Acidobacteriota,c__Vicinamibacteria,o__Subgroup_17,f__norank_o__Subgroup_17,g__norank_f__norank_o__Subgroup_17,s__unclassified_g__norank_f__norank_o__Subgroup_17
OTU4090,Bacteria,Bacteroidota,c__Bacteroidia,o__Cytophagales,f__Hymenobacteraceae,g__Hymenobacter,s__unclassified_g__Hymenobacter
OTU4091,Bacteria,Proteobacteria,c__Gammaproteobacteria,o__Diplorickettsiales,f__Diplorickettsiaceae,g__norank_f__Diplorickettsiaceae,s__uncultured_Coxiellaceae_bacterium_g__norank_f__Diplorickettsiaceae
OTU4092,Bacteria,Proteobacteria,c__Gammaproteobacteria,o__Diplorickettsiales,f__Diplorickettsiaceae,g__norank_f__Diplorickettsiaceae,s__unclassified_g__norank_f__Diplorickettsiaceae
OTU4093,Bacteria,Acidobacteriota,c__Acidobacteriae,o__Solibacterales,f__Solibacteraceae,g__Candidatus_Solibacter,s__metagenome_g__Candidatus_Solibacter
OTU4094,Bacteria,Firmicutes,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Tyzzerella,s__unclassified_g__Tyzzerella
OTU4096,Bacteria,Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__Saccharimonadaceae,g__TM7a,s__uncultured_bacterium_g__TM7a
OTU4097,Bacteria,Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Oxalobacteraceae,g__Noviherbaspirillum,s__unclassified_g__Noviherbaspirillum
OTU4098,Bacteria,Actinobacteriota,c__Acidimicrobiia,o__IMCC26256,f__norank_o__IMCC26256,g__norank_f__norank_o__IMCC26256,s__unclassified_g__norank_f__norank_o__IMCC26256
OTU4099,Bacteria,Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Erwiniaceae,g__Pantoea,s__unclassified_g__Pantoea
OTU41,Bacteria,Verrucomicrobiota,c__Omnitrophia,o__Omnitrophales,f__norank_o__Omnitrophales,g__norank_f__norank_o__Omnitrophales,s__uncultured_bacterium_g__norank_f__norank_o__Omnitrophales
OTU410,Bacteria,Planctomycetota,c__Planctomycetes,o__Isosphaerales,f__Isosphaeraceae,g__norank_f__Isosphaeraceae,s__unclassified_g__norank_f__Isosphaeraceae
OTU4100,Bacteria,Actinobacteriota,c__Thermoleophilia,o__Solirubrobacterales,f__Solirubrobacteraceae,g__unclassified_f__Solirubrobacteraceae,s__unclassified_f__Solirubrobacteraceae
OTU4101,Bacteria,Actinobacteriota,c__Thermoleophilia,o__Solirubrobacterales,f__Solirubrobacteraceae,g__Conexibacter,s__uncultured_bacterium_g__Conexibacter
OTU4102,Bacteria,Actinobacteriota,c__Thermoleophilia,o__Solirubrobacterales,f__67-14,g__norank_f__67-14,s__metagenome_g__norank_f__67-14
OTU4103,Bacteria,Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Enterobacter,s__unclassified_g__Enterobacter
OTU4104,Bacteria,Proteobacteria,c__Gammaproteobacteria,o__Diplorickettsiales,f__Diplorickettsiaceae,g__norank_f__Diplorickettsiaceae,s__uncultured_Coxiellaceae_bacterium_g__norank_f__Diplorickettsiaceae
OTU4105,Bacteria,Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Burkholderia-Caballeronia-Paraburkholderia,s__unclassified_g__Burkholderia-Caballeronia-Paraburkholderia
OTU4106,Bacteria,Proteobacteria,c__Gammaproteobacteria,o__JG36-TzT-191,f__norank_o__JG36-TzT-191,g__norank_f__norank_o__JG36-TzT-191,s__uncultured_bacterium_g__norank_f__norank_o__JG36-TzT-191
OTU4107,Bacteria,Proteobacteria,c__Gammaproteobacteria,o__Gammaproteobacteria_Incertae_Sedis,f__unclassified_o__Gammaproteobacteria_Incertae_Sedis,g__Acidibacter,s__uncultured_gamma_proteobacterium_g__Acidibacter
OTU4108,Bacteria,Proteobacteria,c__Gammaproteobacteria,o__Diplorickettsiales,f__Diplorickettsiaceae,g__norank_f__Diplorickettsiaceae,s__uncultured_Coxiellaceae_bacterium_g__norank_f__Diplorickettsiaceae
OTU4109,Bacteria,Actinobacteriota,c__Thermoleophilia,o__Solirubrobacterales,f__Solirubrobacteraceae,g__Conexibacter,s__uncultured_bacterium_g__Conexibacter
OTU411,Bacteria,Myxococcota,c__Polyangia,o__mle1-27,f__norank_o__mle1-27,g__norank_f__norank_o__mle1-27,s__unclassified_g__norank_f__norank_o__mle1-27
OTU4110,Bacteria,Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae,g__Oceanobacillus,s__uncultured_bacterium_g__Oceanobacillus
OTU4111,Bacteria,Chloroflexi,c__Anaerolineae,o__Ardenticatenales,f__Ardenticatenaceae,g__norank_f__Ardenticatenaceae,s__uncultured_Chloroflexus_sp._g__norank_f__Ardenticatenaceae
OTU4112,Bacteria,Desulfobacterota,c__norank_p__Desulfobacterota,o__norank_c__norank_p__Desulfobacterota,f__norank_o__norank_c__norank_p__Desulfobacterota,g__norank_f__norank_o__norank_c__norank_p__Desulfobacterota,s__Myxococcales_bacterium_enrichment_culture_clone_11380
OTU4113,Bacteria,Actinobacteriota,c__MB-A2-108,o__norank_c__MB-A2-108,f__norank_o__norank_c__MB-A2-108,g__norank_f__norank_o__norank_c__MB-A2-108,s__unclassified_g__norank_f__norank_o__norank_c__MB-A2-108
OTU4114,Bacteria,Chloroflexi,c__Ktedonobacteria,o__C0119,f__norank_o__C0119,g__norank_f__norank_o__C0119,s__unclassified_g__norank_f__norank_o__C0119
OTU4115,Bacteria,Acidobacteriota,c__Blastocatellia,o__Pyrinomonadales,f__Pyrinomonadaceae,g__RB41,s__uncultured_bacterium_g__RB41
OTU4116,Bacteria,Planctomycetota,c__OM190,o__norank_c__OM190,f__norank_o__norank_c__OM190,g__norank_f__norank_o__norank_c__OM190,s__uncultured_bacterium_g__norank_f__norank_o__norank_c__OM190
OTU4117,Bacteria,WPS-2,c__norank_p__WPS-2,o__norank_c__norank_p__WPS-2,f__norank_o__norank_c__norank_p__WPS-2,g__norank_f__norank_o__norank_c__norank_p__WPS-2,s__metagenome_g__norank_f__norank_o__norank_c__norank_p__WPS-2
OTU4118,Bacteria,Acidobacteriota,c__Blastocatellia,o__11-24,f__norank_o__11-24,g__norank_f__norank_o__11-24,s__unclassified_g__norank_f__norank_o__11-24
OTU4119,Bacteria,Actinobacteriota,c__Actinobacteria,o__Corynebacteriales,f__Nocardiaceae,g__Nocardia,s__unclassified_g__Nocardia
OTU412,Bacteria,Myxococcota,c__Polyangia,o__mle1-27,f__norank_o__mle1-27,g__norank_f__norank_o__mle1-27,s__metagenome_g__norank_f__norank_o__mle1-27
OTU4120,Bacteria,Desulfobacterota,c__unclassified_p__Desulfobacterota,o__unclassified_p__Desulfobacterota,f__unclassified_p__Desulfobacterota,g__unclassified_p__Desulfobacterota,s__unclassified_p__Desulfobacterota
OTU4121,Bacteria,Verrucomicrobiota,c__Verrucomicrobiae,o__Verrucomicrobiales,f__Verrucomicrobiaceae,g__norank_f__Verrucomicrobiaceae,s__uncultured_Verrucomicrobia_bacterium_g__norank_f__Verrucomicrobiaceae
OTU4122,Bacteria,Deinococcota,c__Deinococci,o__Deinococcales,f__Deinococcaceae,g__Deinococcus,s__unclassified_g__Deinococcus
OTU4124,Bacteria,Armatimonadota,c__norank_p__Armatimonadota,o__norank_c__norank_p__Armatimonadota,f__norank_o__norank_c__norank_p__Armatimonadota,g__norank_f__norank_o__norank_c__norank_p__Armatimonadota,s__unclassified_g__norank_f__norank_o__norank_c__norank_p__Armatimonadota
OTU4126,Bacteria,Planctomycetota,c__Planctomycetes,o__Isosphaerales,f__Isosphaeraceae,g__Singulisphaera,s__unclassified_g__Singulisphaera
OTU4127,Bacteria,Planctomycetota,c__Planctomycetes,o__Gemmatales,f__Gemmataceae,g__norank_f__Gemmataceae,s__uncultured_bacterium_g__norank_f__Gemmataceae
OTU4128,Bacteria,Planctomycetota,c__Planctomycetes,o__Gemmatales,f__Gemmataceae,g__norank_f__Gemmataceae,s__unclassified_g__norank_f__Gemmataceae
OTU4129,Bacteria,Planctomycetota,c__Phycisphaerae,o__Phycisphaerales,f__Phycisphaeraceae,g__unclassified_f__Phycisphaeraceae,s__unclassified_f__Phycisphaeraceae
OTU413,Bacteria,Acidobacteriota,c__Subgroup_22,o__norank_c__Subgroup_22,f__norank_o__norank_c__Subgroup_22,g__norank_f__norank_o__norank_c__Subgroup_22,s__uncultured_proteobacterium_g__norank_f__norank_o__norank_c__Subgroup_22
OTU4130,Bacteria,Myxococcota,c__Polyangia,o__Polyangiales,f__Polyangiaceae,g__Pajaroellobacter,s__metagenome_g__Pajaroellobacter
OTU4131,Bacteria,Myxococcota,c__Myxococcia,o__Myxococcales,f__27F-1492R,g__norank_f__27F-1492R,s__uncultured_delta_proteobacterium_g__norank_f__27F-1492R
OTU4132,Bacteria,Armatimonadota,c__Armatimonadia,o__Armatimonadales,f__norank_o__Armatimonadales,g__norank_f__norank_o__Armatimonadales,s__uncultured_Armatimonadetes_bacterium_g__norank_f__norank_o__Armatimonadales
OTU4133,Bacteria,Verrucomicrobiota,c__Verrucomicrobiae,o__Chthoniobacterales,f__Chthoniobacteraceae,g__Chthoniobacter,s__unclassified_g__Chthoniobacter
OTU4134,Bacteria,unclassified_k__norank_d__Bacteria,c__unclassified_k__norank_d__Bacteria,o__unclassified_k__norank_d__Bacteria,f__unclassified_k__norank_d__Bacteria,g__unclassified_k__norank_d__Bacteria,s__unclassified_k__norank_d__Bacteria
OTU4135,Bacteria,Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__norank_o__Saccharimonadales,g__norank_f__norank_o__Saccharimonadales,s__uncultured_bacterium_g__norank_f__norank_o__Saccharimonadales
OTU4136,Bacteria,Chloroflexi,c__Anaerolineae,o__unclassified_c__Anaerolineae,f__unclassified_c__Anaerolineae,g__unclassified_c__Anaerolineae,s__unclassified_c__Anaerolineae
OTU4137,Bacteria,Planctomycetota,c__BD7-11,o__norank_c__BD7-11,f__norank_o__norank_c__BD7-11,g__norank_f__norank_o__norank_c__BD7-11,s__uncultured_bacterium_g__norank_f__norank_o__norank_c__BD7-11
OTU4138,Bacteria,Verrucomicrobiota,c__Omnitrophia,o__Omnitrophales,f__Omnitrophaceae,g__Candidatus_Omnitrophus,s__unclassified_g__Candidatus_Omnitrophus
OTU4139,Bacteria,Patescibacteria,c__Parcubacteria,o__norank_c__Parcubacteria,f__norank_o__norank_c__Parcubacteria,g__norank_f__norank_o__norank_c__Parcubacteria,s__uncultured_bacterium_g__norank_f__norank_o__norank_c__Parcubacteria
OTU414,Bacteria,Chloroflexi,c__Anaerolineae,o__SBR1031,f__norank_o__SBR1031,g__norank_f__norank_o__SBR1031,s__uncultured_Caldilineaceae_bacterium_g__norank_f__norank_o__SBR1031
OTU4140,Bacteria,Proteobacteria,c__Alphaproteobacteria,o__Acetobacterales,f__Acetobacteraceae,g__Rhodovarius,s__uncultured_bacterium_g__Rhodovarius
OTU4141,Bacteria,Bdellovibrionota,c__Oligoflexia,o__0319-6G20,f__norank_o__0319-6G20,g__norank_f__norank_o__0319-6G20,s__unclassified_g__norank_f__norank_o__0319-6G20
OTU4142,Bacteria,Chloroflexi,c__Ktedonobacteria,o__C0119,f__norank_o__C0119,g__norank_f__norank_o__C0119,s__unclassified_g__norank_f__norank_o__C0119
OTU4143,Bacteria,Chloroflexi,c__JG30-KF-CM66,o__norank_c__JG30-KF-CM66,f__norank_o__norank_c__JG30-KF-CM66,g__norank_f__norank_o__norank_c__JG30-KF-CM66,s__uncultured_bacterium_g__norank_f__norank_o__norank_c__JG30-KF-CM66
OTU4144,Bacteria,Acidobacteriota,c__Blastocatellia,o__Pyrinomonadales,f__Pyrinomonadaceae,g__RB41,s__uncultured_bacterium_g__RB41
OTU4146,Bacteria,Gemmatimonadota,c__Gemmatimonadetes,o__Gemmatimonadales,f__Gemmatimonadaceae,g__norank_f__Gemmatimonadaceae,s__unclassified_g__norank_f__Gemmatimonadaceae
OTU4147,Bacteria,Myxococcota,c__Myxococcia,o__Myxococcales,f__Myxococcaceae,g__P3OB-42,s__unclassified_g__P3OB-42
OTU4148,Bacteria,Actinobacteriota,c__Actinobacteria,o__Euzebyales,f__Euzebyaceae,g__norank_f__Euzebyaceae,s__uncultured_bacterium_g__norank_f__Euzebyaceae
OTU4149,Bacteria,Planctomycetota,c__Planctomycetes,o__Gemmatales,f__Gemmataceae,g__norank_f__Gemmataceae,s__uncultured_bacterium_g__norank_f__Gemmataceae
OTU415,Bacteria,Acidobacteriota,c__AT-s3-28,o__norank_c__AT-s3-28,f__norank_o__norank_c__AT-s3-28,g__norank_f__norank_o__norank_c__AT-s3-28,s__unclassified_g__norank_f__norank_o__norank_c__AT-s3-28
OTU4150,Bacteria,Abditibacteriota,c__Abditibacteria,o__Abditibacteriales,f__Abditibacteriaceae,g__Abditibacterium,s__unclassified_g__Abditibacterium
OTU4151,Bacteria,Sumerlaeota,c__Sumerlaeia,o__Sumerlaeales,f__Sumerlaeaceae,g__Sumerlaea,s__uncultured_bacterium_g__Sumerlaea
OTU4152,Bacteria,Planctomycetota,c__Planctomycetes,o__Gemmatales,f__Gemmataceae,g__norank_f__Gemmataceae,s__unclassified_g__norank_f__Gemmataceae
OTU4153,Bacteria,unclassified_k__norank_d__Bacteria,c__unclassified_k__norank_d__Bacteria,o__unclassified_k__norank_d__Bacteria,f__unclassified_k__norank_d__Bacteria,g__unclassified_k__norank_d__Bacteria,s__unclassified_k__norank_d__Bacteria
OTU4154,Bacteria,Planctomycetota,c__Planctomycetes,o__Gemmatales,f__Gemmataceae,g__norank_f__Gemmataceae,s__uncultured_bacterium_g__norank_f__Gemmataceae
OTU4155,Bacteria,Chloroflexi,c__Anaerolineae,o__Ardenticatenales,f__Ardenticatenaceae,g__norank_f__Ardenticatenaceae,s__uncultured_bacterium_g__norank_f__Ardenticatenaceae
OTU4156,Bacteria,Elusimicrobiota,c__Lineage_IIb,o__norank_c__Lineage_IIb,f__norank_o__norank_c__Lineage_IIb,g__norank_f__norank_o__norank_c__Lineage_IIb,s__unclassified_g__norank_f__norank_o__norank_c__Lineage_IIb
OTU4157,Bacteria,Planctomycetota,c__Planctomycetes,o__Gemmatales,f__Gemmataceae,g__norank_f__Gemmataceae,s__uncultured_bacterium_g__norank_f__Gemmataceae
OTU4159,Bacteria,Actinobacteriota,c__Actinobacteria,o__Micromonosporales,f__Micromonosporaceae,g__Longispora,s__uncultured_bacterium_g__Longispora
OTU416,Bacteria,Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__norank_o__Saccharimonadales,g__norank_f__norank_o__Saccharimonadales,s__unclassified_g__norank_f__norank_o__Saccharimonadales
OTU4160,Bacteria,unclassified_k__norank_d__Bacteria,c__unclassified_k__norank_d__Bacteria,o__unclassified_k__norank_d__Bacteria,f__unclassified_k__norank_d__Bacteria,g__unclassified_k__norank_d__Bacteria,s__unclassified_k__norank_d__Bacteria
OTU4161,Bacteria,Armatimonadota,c__Chthonomonadetes,o__Chthonomonadales,f__Chthonomonadaceae,g__Chthonomonas,s__uncultured_bacterium_g__Chthonomonas
OTU4162,Bacteria,Planctomycetota,c__Planctomycetes,o__norank_c__Planctomycetes,f__norank_o__norank_c__Planctomycetes,g__norank_f__norank_o__norank_c__Planctomycetes,s__uncultured_bacterium_g__norank_f__norank_o__norank_c__Planctomycetes
OTU4163,Bacteria,Bdellovibrionota,c__Bdellovibrionia,o__Bdellovibrionales,f__Bdellovibrionaceae,g__Bdellovibrio,s__uncultured_bacterium_g__Bdellovibrio
OTU4164,Bacteria,Planctomycetota,c__Planctomycetes,o__Isosphaerales,f__Isosphaeraceae,g__norank_f__Isosphaeraceae,s__unclassified_g__norank_f__Isosphaeraceae
OTU4165,Bacteria,Actinobacteriota,c__Acidimicrobiia,o__unclassified_c__Acidimicrobiia,f__unclassified_c__Acidimicrobiia,g__unclassified_c__Acidimicrobiia,s__unclassified_c__Acidimicrobiia
OTU4166,Bacteria,Bdellovibrionota,c__Bdellovibrionia,o__Bdellovibrionales,f__Bdellovibrionaceae,g__Bdellovibrio,s__unclassified_g__Bdellovibrio
OTU4167,Bacteria,Chloroflexi,c__Anaerolineae,o__SBR1031,f__norank_o__SBR1031,g__norank_f__norank_o__SBR1031,s__unclassified_g__norank_f__norank_o__SBR1031
OTU4168,Bacteria,Nitrospirota,c__Nitrospiria,o__Nitrospirales,f__Nitrospiraceae,g__Nitrospira,s__uncultured_Nitrospira_sp._g__Nitrospira
OTU4169,Bacteria,Proteobacteria,c__Alphaproteobacteria,o__norank_c__Alphaproteobacteria,f__norank_o__norank_c__Alphaproteobacteria,g__norank_f__norank_o__norank_c__Alphaproteobacteria,s__unclassified_g__norank_f__norank_o__norank_c__Alphaproteobacteria
OTU417,Bacteria,Chloroflexi,c__Anaerolineae,o__Caldilineales,f__Caldilineaceae,g__norank_f__Caldilineaceae,s__unclassified_g__norank_f__Caldilineaceae
OTU4170,Bacteria,Chloroflexi,c__Chloroflexia,o__Thermomicrobiales,f__JG30-KF-CM45,g__norank_f__JG30-KF-CM45,s__uncultured_bacterium_g__norank_f__JG30-KF-CM45
OTU4171,Bacteria,Actinobacteriota,c__MB-A2-108,o__norank_c__MB-A2-108,f__norank_o__norank_c__MB-A2-108,g__norank_f__norank_o__norank_c__MB-A2-108,s__uncultured_bacterium_g__norank_f__norank_o__norank_c__MB-A2-108
OTU4172,Bacteria,Planctomycetota,c__Planctomycetes,o__Gemmatales,f__Gemmataceae,g__norank_f__Gemmataceae,s__unclassified_g__norank_f__Gemmataceae
OTU4173,Bacteria,Verrucomicrobiota,c__Verrucomicrobiae,o__Chthoniobacterales,f__Chthoniobacteraceae,g__Chthoniobacter,s__metagenome_g__Chthoniobacter
OTU4174,Bacteria,Methylomirabilota,c__Methylomirabilia,o__Rokubacteriales,f__norank_o__Rokubacteriales,g__norank_f__norank_o__Rokubacteriales,s__uncultured_bacterium_g__norank_f__norank_o__Rokubacteriales
OTU4175,Bacteria,Planctomycetota,c__Planctomycetes,o__Isosphaerales,f__Isosphaeraceae,g__norank_f__Isosphaeraceae,s__uncultured_bacterium_g__norank_f__Isosphaeraceae
OTU4176,Bacteria,Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__SC-I-84,g__norank_f__SC-I-84,s__unclassified_g__norank_f__SC-I-84
OTU4177,Bacteria,Verrucomicrobiota,c__Verrucomicrobiae,o__Verrucomicrobiales,f__Verrucomicrobiaceae,g__Roseimicrobium,s__uncultured_Verrucomicrobia_bacterium_g__Roseimicrobium
OTU4178,Bacteria,Gemmatimonadota,c__Longimicrobia,o__Longimicrobiales,f__Longimicrobiaceae,g__norank_f__Longimicrobiaceae,s__unclassified_g__norank_f__Longimicrobiaceae
OTU4179,Bacteria,Acidobacteriota,c__Blastocatellia,o__Pyrinomonadales,f__Pyrinomonadaceae,g__RB41,s__Arenimicrobium_luteum
OTU418,Bacteria,Verrucomicrobiota,c__Omnitrophia,o__Omnitrophales,f__norank_o__Omnitrophales,g__norank_f__norank_o__Omnitrophales,s__unclassified_g__norank_f__norank_o__Omnitrophales
OTU4180,Bacteria,Acidobacteriota,c__Blastocatellia,o__Pyrinomonadales,f__Pyrinomonadaceae,g__RB41,s__unclassified_g__RB41
OTU4181,Bacteria,Armatimonadota,c__norank_p__Armatimonadota,o__norank_c__norank_p__Armatimonadota,f__norank_o__norank_c__norank_p__Armatimonadota,g__norank_f__norank_o__norank_c__norank_p__Armatimonadota,s__uncultured_bacterium_g__norank_f__norank_o__norank_c__norank_p__Armatimonadota
OTU4182,Bacteria,Actinobacteriota,c__Actinobacteria,o__Propionibacteriales,f__Nocardioidaceae,g__Nocardioides,s__unclassified_g__Nocardioides
OTU4183,Bacteria,Patescibacteria,c__Parcubacteria,o__norank_c__Parcubacteria,f__norank_o__norank_c__Parcubacteria,g__norank_f__norank_o__norank_c__Parcubacteria,s__uncultured_bacterium_g__norank_f__norank_o__norank_c__Parcubacteria
OTU4184,Bacteria,Bacteroidota,c__Bacteroidia,o__Sphingobacteriales,f__AKYH767,g__norank_f__AKYH767,s__uncultured_bacterium_g__norank_f__AKYH767
OTU4185,Bacteria,Acidobacteriota,c__Thermoanaerobaculia,o__Thermoanaerobaculales,f__Thermoanaerobaculaceae,g__Subgroup_10,s__unclassified_g__Subgroup_10
OTU4186,Bacteria,Gemmatimonadota,c__Gemmatimonadetes,o__Gemmatimonadales,f__Gemmatimonadaceae,g__Gemmatimonas,s__uncultured_bacterium_g__Gemmatimonas
OTU4187,Bacteria,Acidobacteriota,c__Vicinamibacteria,o__Vicinamibacterales,f__norank_o__Vicinamibacterales,g__norank_f__norank_o__Vicinamibacterales,s__unclassified_g__norank_f__norank_o__Vicinamibacterales
OTU4188,Bacteria,Actinobacteriota,c__Actinobacteria,o__Frankiales,f__Sporichthyaceae,g__Sporichthya,s__uncultured_bacterium_g__Sporichthya
OTU4189,Bacteria,Actinobacteriota,c__Actinobacteria,o__Micrococcales,f__Dermabacteraceae,g__Brachybacterium,s__unclassified_g__Brachybacterium
OTU419,Bacteria,Bdellovibrionota,c__Oligoflexia,o__0319-6G20,f__norank_o__0319-6G20,g__norank_f__norank_o__0319-6G20,s__unclassified_g__norank_f__norank_o__0319-6G20
OTU4190,Bacteria,Bdellovibrionota,c__Oligoflexia,o__0319-6G20,f__norank_o__0319-6G20,g__norank_f__norank_o__0319-6G20,s__unclassified_g__norank_f__norank_o__0319-6G20
OTU4191,Bacteria,Actinobacteriota,c__Actinobacteria,o__Euzebyales,f__Euzebyaceae,g__norank_f__Euzebyaceae,s__uncultured_bacterium_g__norank_f__Euzebyaceae
OTU4192,Bacteria,Chloroflexi,c__Ktedonobacteria,o__C0119,f__norank_o__C0119,g__norank_f__norank_o__C0119,s__unclassified_g__norank_f__norank_o__C0119
OTU4193,Bacteria,Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__norank_o__Saccharimonadales,g__norank_f__norank_o__Saccharimonadales,s__unclassified_g__norank_f__norank_o__Saccharimonadales
OTU4194,Bacteria,Actinobacteriota,c__Thermoleophilia,o__Gaiellales,f__norank_o__Gaiellales,g__norank_f__norank_o__Gaiellales,s__uncultured_bacterium_g__norank_f__norank_o__Gaiellales
OTU4195,Bacteria,Acidobacteriota,c__Blastocatellia,o__11-24,f__norank_o__11-24,g__norank_f__norank_o__11-24,s__uncultured_bacterium_g__norank_f__norank_o__11-24
OTU4196,Bacteria,Verrucomicrobiota,c__Omnitrophia,o__Omnitrophales,f__Omnitrophaceae,g__Candidatus_Omnitrophus,s__unclassified_g__Candidatus_Omnitrophus
OTU4197,Bacteria,Gemmatimonadota,c__S0134_terrestrial_group,o__norank_c__S0134_terrestrial_group,f__norank_o__norank_c__S0134_terrestrial_group,g__norank_f__norank_o__norank_c__S0134_terrestrial_group,s__uncultured_Gemmatimonadetes_bacterium_g__norank_f__norank_o__norank_c__S0134_terrestrial_group
OTU4198,Bacteria,Chloroflexi,c__Anaerolineae,o__SBR1031,f__norank_o__SBR1031,g__norank_f__norank_o__SBR1031,s__uncultured_Caldilineaceae_bacterium_g__norank_f__norank_o__SBR1031
OTU4199,Bacteria,Bdellovibrionota,c__Oligoflexia,o__0319-6G20,f__norank_o__0319-6G20,g__norank_f__norank_o__0319-6G20,s__unclassified_g__norank_f__norank_o__0319-6G20
OTU42,Bacteria,Planctomycetota,c__Phycisphaerae,o__Phycisphaerales,f__Phycisphaeraceae,g__SM1A02,s__metagenome_g__SM1A02
OTU420,Bacteria,Planctomycetota,c__Planctomycetes,o__norank_c__Planctomycetes,f__norank_o__norank_c__Planctomycetes,g__norank_f__norank_o__norank_c__Planctomycetes,s__metagenome_g__norank_f__norank_o__norank_c__Planctomycetes
OTU4200,Bacteria,Chloroflexi,c__TK10,o__norank_c__TK10,f__norank_o__norank_c__TK10,g__norank_f__norank_o__norank_c__TK10,s__uncultured_bacterium_g__norank_f__norank_o__norank_c__TK10
OTU4201,Bacteria,Actinobacteriota,c__Actinobacteria,o__Pseudonocardiales,f__Pseudonocardiaceae,g__Actinophytocola,s__uncultured_bacterium_g__Actinophytocola
OTU4202,Bacteria,Chloroflexi,c__Ktedonobacteria,o__C0119,f__norank_o__C0119,g__norank_f__norank_o__C0119,s__unclassified_g__norank_f__norank_o__C0119
OTU4203,Bacteria,Gemmatimonadota,c__Longimicrobia,o__Longimicrobiales,f__Longimicrobiaceae,g__norank_f__Longimicrobiaceae,s__uncultured_bacterium_g__norank_f__Longimicrobiaceae
OTU4204,Bacteria,Actinobacteriota,c__Actinobacteria,o__Micromonosporales,f__Micromonosporaceae,g__norank_f__Micromonosporaceae,s__unclassified_g__norank_f__Micromonosporaceae
OTU4205,Bacteria,Armatimonadota,c__Armatimonadia,o__Armatimonadales,f__norank_o__Armatimonadales,g__norank_f__norank_o__Armatimonadales,s__uncultured_bacterium_g__norank_f__norank_o__Armatimonadales
